track_id,track_name,artist_name,album_release_date,month_of_release,track_popularity,duration_ms,duration_min,explicit,is_hit
46YjJXVXWHlQ21odKktg5e,MOJABI GHOST,Tainy,2023-06-29,6,81.0,232131,3.86885,1,1
4MjDJD8cW7iVeWInc2Bdyj,MONACO,Bad Bunny,2023-10-13,10,80.0,267194,4.453233333333333,1,1
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,Bad Bunny,2023-10-13,10,82.0,162767,2.7127833333333333,1,1
1ODFVLQszq0hCOdZtqV5wq,MR. OCTOBER,Bad Bunny,2023-10-13,10,72.0,189258,3.1543,1,1
4Jc7252S1P99DjQ1lNGEOc,CYBERTRUCK,Bad Bunny,2023-10-13,10,71.0,191959,3.199316666666667,1,1
7ro0hRteUMfnOioTFI5TG1,WHERE SHE GOES,Bad Bunny,2023-05-18,5,75.0,231704,3.8617333333333335,1,1
3NhstUmrlhaN1M6hP8zMbb,BABY NUEVA,Bad Bunny,2023-10-13,10,72.0,240773,4.012883333333333,1,1
04x1x0L8BYyIv1XlcJxWfi,Lo Siento BB:/,Tainy,2023-06-29,6,74.0,206343,3.43905,1,1
3nNmRE0DxHC6ZaKkrpUumS,FINA,Bad Bunny,2023-10-13,10,75.0,216327,3.60545,1,1
0PB0O24JqAuNdOAFVJljMS,Coco Chanel,Eladio Carrion,2023-03-17,3,74.0,208125,3.46875,1,1
5qzLdvRViHUrRNdkpakG7C,BATICANO,Bad Bunny,2023-10-13,10,68.0,256000,4.266666666666667,1,1
5ixdmTpCmH5diBA1j154wN,UN PREVIEW,Bad Bunny,2023-10-13,10,67.0,165582,2.7597,1,1
3mRF0YNsDdFKFnxwg16hSz,VUELVE CANDY B,Bad Bunny,2023-10-13,10,69.0,266171,4.436183333333333,1,1
1C7lXfx4Y5maVl4AgUVlHA,ACHO PR,Bad Bunny,2023-10-13,10,71.0,359647,5.994116666666667,1,1
5L3ecxQnQ9qTBmnLQiwf0C,K-POP,Travis Scott,2023-07-21,7,68.0,185220,3.087,1,1
4pcafPzLDSqQktqSpxHL3E,THUNDER Y LIGHTNING,Bad Bunny,2023-10-13,10,70.0,217133,3.6188833333333332,1,1
7ucEkWU0SVy0XFdfXESgfY,LOS PITS,Bad Bunny,2023-10-13,10,69.0,250851,4.18085,1,1
1YnChEM51BVZ5dRhbVFEMl,SEDA,Bad Bunny,2023-10-13,10,70.0,190476,3.1746,1,1
4o82J5zr4DFEs9yj5szCVX,K-POP (feat. Bad Bunny & The Weeknd),Travis Scott,2023-07-28,7,60.0,185220,3.087,1,0
63ui2w3QJBp8xx0c1MJB2Z,UN PREVIEW,Bad Bunny,2023-09-25,9,66.0,165582,2.7597,1,0
23d8v6tU6lR77pFKsApMtF,NADIE SABE,Bad Bunny,2023-10-13,10,71.0,379058,6.317633333333333,1,1
01ppKlDRCmPpusO3yNrSRY,TELEFONO NUEVO,Bad Bunny,2023-10-13,10,73.0,354784,5.9130666666666665,1,1
3TYOH7ta0101NYssoH5GlU,MERCEDES CAROTA,Bad Bunny,2023-10-13,10,71.0,202635,3.37725,1,1
4qSEvFGCpde73gqIuq3sho,HIBIKI,Bad Bunny,2023-10-13,10,72.0,208000,3.466666666666667,1,1
38UYeBLfvpnDSG9GznZdnL,Tormenta (feat. Bad Bunny),Gorillaz,2023-02-24,2,69.0,193463,3.2243833333333334,1,1
2sTDlCxmuZCTDKKk9f1qus,WHERE SHE GOES,Bad Bunny,2023-10-13,10,70.0,231704,3.8617333333333335,1,1
51Awtxah1bdEZCnUP3i70E,un x100to,Grupo Frontera,2023-08-25,8,69.0,194563,3.2427166666666665,0,1
1U3A66OHQyTu4N2QTMsP86,GRACIAS POR NADA,Bad Bunny,2023-10-13,10,66.0,177450,2.9575,1,0
0rDQZJtSGgsB2rdkObpdFa,VOU 787,Bad Bunny,2023-10-13,10,67.0,123643,2.0607166666666665,1,1
67m53SyedbOS5fUGcfT3Ab,Tormenta (feat. Bad Bunny),Gorillaz,2023-02-27,2,50.0,193463,3.2243833333333334,1,0
3BE3IYsAhqkTiRIR7T7x7M,Gently (feat. Bad Bunny),Drake,2023-11-17,11,49.0,133694,2.2282333333333333,1,0
5xzOYsed90dyzNH7MSigpp,Gently (feat. Bad Bunny),Drake,2023-10-05,10,50.0,133694,2.2282333333333333,0,0
3vUDNDbhYkfidboErlk7cx,K-POP,Travis Scott,2023-07-19,7,45.0,185220,3.087,0,0
02OKVnWppSh1jYZajEo5xn,Si Tu Novio Te Deja Sola,J Balvin,2023-08-16,8,43.0,243560,4.059333333333333,1,0
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-07-13,7,85.0,222369,3.70615,0,1
6SMGb4zT6kiM19rnDPwbEJ,The 30th,Billie Eilish,2023-05-23,5,46.0,216448,3.607466666666667,0,0
0WFryfbNKPXVtVQlz5dZ8H,hotline (edit),Billie Eilish,2023-05-09,5,74.0,60719,1.0119833333333332,0,1
42NtOEqKCVvAyBnm8wETPR,watch,Billie Eilish,2023-07-21,7,24.0,177523,2.9587166666666667,0,0
0JT9oyYo7YylcP2QHGfi40,my strange addiction,Billie Eilish,2023-04-07,4,30.0,179889,2.99815,0,0
03zqXfOjpVAICjPMHLNmZc,ocean eyes,Billie Eilish,2023-09-27,9,51.0,200386,3.3397666666666668,0,0
6pYnaEMahNMSBzRC9YqTms,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-09-12,9,41.0,222369,3.70615,0,0
3C46r0nICUc9kNKjuKdqa1,all the good girls go to hell - Prime Day Show x Billie Eilish,Billie Eilish,2023-05-25,5,27.0,167044,2.7840666666666665,0,0
60nzejjYGIsfWn1abHlCBq,all the good girls go to hell - Prime Day Show x Billie Eilish,Billie Eilish,2023-02-17,2,30.0,167044,2.7840666666666665,0,0
4b4GrzUXN9oxxKXqxmXUwE,The 30th,Billie Eilish,2023-05-03,5,35.0,216448,3.607466666666667,0,0
7kUfTvf0XELkhHtS3dmKdr,The 30th,Billie Eilish,2023-03-14,3,30.0,216448,3.607466666666667,0,0
44cdkV6hHvUOZDt57CU6zV,watch,Billie Eilish,2023-07-04,7,48.0,177523,2.9587166666666667,0,0
0XUVBHSSdANm9Tq7pFTE5m,ilomilo,Billie Eilish,2023-08-25,8,21.0,156370,2.6061666666666667,0,0
1qJRLoQdkdkfOvqckvKn9T,ocean eyes,Billie Eilish,2023-09-26,9,25.0,200386,3.3397666666666668,0,0
3Syv7KAb0aYUaanltiF9Nl,everything i wanted,Billie Eilish,2023-06-09,6,23.0,245425,4.090416666666667,0,0
5lqr7V0LohxtfHznvmGz0y,bellyache,Billie Eilish,2023-04-14,4,23.0,179172,2.9862,0,0
4T4H6qqvMLYI8Ke54F4HMU,when the party's over,Billie Eilish,2023-08-02,8,19.0,199931,3.3321833333333335,0,0
2v4cuxlyrXT0vX65Lr0aKI,TV,Billie Eilish,2023-05-04,5,18.0,281380,4.689666666666667,0,0
2VxCbmFcE2stqraKJ8VYwG,come out and play,Billie Eilish,2023-04-10,4,19.0,210375,3.50625,0,0
0Mjts1amZGcObuFE8iGzwy,when the party's over,Billie Eilish,2023-07-31,7,17.0,199931,3.3321833333333335,0,0
45RFKiCdKuFeJIQbIRkweg,ocean eyes,Billie Eilish,2023-03-20,3,25.0,200386,3.3397666666666668,0,0
3T4nvZmw7zmcosWmcSWqFS,When the Party’s Over - Instrumental Version,Billie Eilish,2023-12-15,12,17.0,195519,3.25865,0,0
6UQgyjC53iUIT4D3yse5j8,ilomilo - Live From The Film - Billie Eilish: The World’s A Little Blurry,Billie Eilish,2023-09-08,9,17.0,164051,2.734183333333333,0,0
6ZlzREQxg2kADGJWIDiT2H,ocean eyes,Billie Eilish,2023-09-26,9,26.0,200386,3.3397666666666668,0,0
0e6sVHhvctdQQ3h36pblUo,COPYCAT,Billie Eilish,2023-08-01,8,20.0,194711,3.2451833333333333,0,0
0e9MTzIXoKCTZ4TRz7GOzn,i love you,Billie Eilish,2023-05-17,5,26.0,291796,4.863266666666667,0,0
7zjNsDAiU3XtNFEKOOW1oD,ocean eyes,Billie Eilish,2023-09-15,9,26.0,200386,3.3397666666666668,0,0
0UqDRxxNK41LQdiPGNTQyD,when the party's over,Billie Eilish,2023-06-06,6,13.0,199931,3.3321833333333335,0,0
2s2uvcR0w8CysF07ANGjzw,when the party's over,Billie Eilish,2023-05-29,5,13.0,199931,3.3321833333333335,0,0
5cCuLrtjKY3eN4zGafrzqH,when the party's over,Billie Eilish,2023-05-23,5,14.0,199931,3.3321833333333335,0,0
22kLpft6GeBGfJXabAdnp5,when the party's over,Billie Eilish,2023-09-20,9,14.0,199931,3.3321833333333335,0,0
0Yp4jwm7DllEjytVQtxIcs,idontwannabeyouanymore,Billie Eilish,2023-09-15,9,19.0,203569,3.3928166666666666,0,0
6m4HKOjwe4MFAyfLsQLz5s,when the party's over,Billie Eilish,2023-08-04,8,14.0,199931,3.3321833333333335,0,0
1enM7Zk8Hz90KA8iBwx9W8,hostage,Billie Eilish,2023-04-16,4,13.0,229425,3.82375,0,0
2ZS1diJkBIHD3fuT3MeKlh,all the good girls go to hell - Prime Day Show x Billie Eilish,Billie Eilish,2023-07-21,7,10.0,167044,2.7840666666666665,0,0
5SzjZdZJI93pLxs2e2ug9T,when the party's over,Billie Eilish,2023-06-12,6,14.0,199931,3.3321833333333335,0,0
3TdRBDeZy9dExxTmBMf4eR,bitches broken hearts,Billie Eilish,2023-04-07,4,13.0,176471,2.9411833333333335,1,0
