track_id,track_name,artist_id,artist_name,album_id,album_name,album_release_date,release_date_precision,popularity,duration_ms,explicit,source,source_id
04f13iELcsYpY2yeLiAcfq,El Amante (feat. Ozuna & Bad Bunny) - Remix,1SupJlEpv7RS2tPNRaHViT,Nicky Jam,55uno9tUFr9N5Gq5Rnzfwd,El Amante (feat. Ozuna & Bad Bunny) [Remix],2017-06-26,day,63,225520,False,artist,Bad Bunny
4l3xGFwoTinvYxsePytOOf,Báilame - Remix,2ayNSoKPCRAfjp6hQ76hRu,Nacho,3C2Y8YZGNyGqXZLPHPUMj3,La Criatura,2018-05-11,day,70,217093,False,artist,Bad Bunny
0FktnzDqjClqU6iqOZVEs2,BYE ME FUI,4q3ewBCX7sLwd24euuV69X,Bad Bunny,4gvQO5mEuhbMSrLIuwXkmz,LAS QUE NO IBAN A SALIR,2020-05-10,day,63,178000,True,artist,Bad Bunny
65n40RsQ9SObH7hNvVTHp0,Explícale (feat. Cosculluela & Brytiago) - Remix,0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,4BQBdbRNXOJAV580HH1mr2,Explícale (feat. Cosculluela & Brytiago) [Remix],2018-04-11,day,72,395666,False,artist,Bad Bunny
2naJy8SKJ27gj6ZhRPDKaz,Si Tu Lo Dejas,1fctva4kpRbg2k3v7kwRuS,Rvssian,2kk2iZAScz7J4LoZ4y4tH0,Si Tu Lo Dejas,2017-08-03,day,65,275478,True,artist,Bad Bunny
4MZSqgwlE71CWZ6qQ3gkKm,<3,4q3ewBCX7sLwd24euuV69X,Bad Bunny,5lJqux7orBlA1QzyiBGti1,YHLQMDLG,2020-02-29,day,68,157967,False,artist,Bad Bunny
5jZ32WOU7sqzDYbzINwMUk,SORRY PAPI,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,day,69,163053,True,artist,Bad Bunny
2ECIwi1a7mfokdDkkJ08Ne,Loca - Remix,4m6ubhNsdwF4psNf3R8kwR,KHEA,5EuK2rW0iPINmt21KPbIUQ,Loca Remix,2018-03-16,day,68,346460,True,artist,Bad Bunny
0EhpEsp4L0oRGM0vmeaN5e,UN DIA (ONE DAY) (Feat. Tainy),1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,6aqSlutLYNpzSsK4dV5jTr,UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,day,70,232253,False,artist,Bad Bunny
1RijmOnza5p9CzaFKr8W1Y,Soy Peor - Remix,4q3ewBCX7sLwd24euuV69X,Bad Bunny,059FBKRSxDxaHsk8xzfOUM,Soy Peor Remix,2017-06-22,day,65,315846,True,artist,Bad Bunny
6SYSu569pfYdkDT9A5lZqi,CUIDAO POR AHÍ,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,6ylFfzx32ICw4L1A7YWNLN,OASIS,2019-06-28,day,60,198320,False,artist,Bad Bunny
4z6wo6PJG4Fve45OXK6D9m,Infeliz,4SsVbpTthjScTS7U2hmr1X,Arcángel,0CPLMVp7rMi3BkzAMve96K,Historias de un Capricornio,2019-12-20,day,68,221103,False,artist,Bad Bunny
1c0hsvHLELX6y8qymnpLKL,Soltera (Remix),47MpMsUfWtgyIIBEFOr4FE,Lunay,2m9Vuc9Q19qhSm6RQmBgsR,Soltera (Remix),2019-05-10,day,68,266086,False,artist,Bad Bunny
2SzgK8i6si6ETtu57nTdSn,Un Ratito Mas,6w9ToX5slZ4uIdmD17hJ3c,Bryant Myers,0AIoxEYCgmfD856498j2dq,Un Ratito Mas,2017-06-05,day,70,283120,True,artist,Bad Bunny
42FWqCxAw5aG1FvjyVjIlH,Te Boté,1TtXnWcUs0FCkaZDPGYHdf,Darell,5IniTg5dxU8hYXkBBcsmak,Te Boté (Clean Version),2018-04-20,day,66,275693,False,artist,Bad Bunny
0tjZv2hChdHZCW1zFXpy1J,HOY COBRÉ,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,day,67,162151,True,artist,Bad Bunny
1U3A66OHQyTu4N2QTMsP86,GRACIAS POR NADA,4q3ewBCX7sLwd24euuV69X,Bad Bunny,4FftCsAcXXD1nFO9RFUNFO,nadie sabe lo que va a pasar mañana,2023-10-13,day,66,177450,True,artist,Bad Bunny
0Lsis3LB0XAK6XlTHXaJk2,MALDITA POBREZA,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,day,62,213609,True,artist,Bad Bunny
0uIfrUwwg0Z7KTitul7E3T,YO LE LLEGO,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,6ylFfzx32ICw4L1A7YWNLN,OASIS,2019-06-28,day,61,249600,False,artist,Bad Bunny
0rDQZJtSGgsB2rdkObpdFa,VOU 787,4q3ewBCX7sLwd24euuV69X,Bad Bunny,4FftCsAcXXD1nFO9RFUNFO,nadie sabe lo que va a pasar mañana,2023-10-13,day,67,123643,True,artist,Bad Bunny
1aVut0Tb18c8BOpLGkfAhp,LOYAL (feat. Drake and Bad Bunny) - Remix,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,7z20vHCSgu68lplj1Q976a,PARTYMOBILE,2020-03-27,day,58,281119,True,artist,Bad Bunny
2kQDcD7adY2odZLLfIexFj,47 - Remix,2R21vXR83lH98kGeO99Y66,Anuel AA,7hlRNdjFs9DEPTrHhzFwYu,47 (Remix),2017-03-31,day,69,517599,True,artist,Bad Bunny
36DHxTW2xdr9GG15T9oK9L,EL MUNDO ES MÍO,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,day,62,165199,False,artist,Bad Bunny
38RIEav39FGi86jppxO0du,Ignorantes,4q3ewBCX7sLwd24euuV69X,Bad Bunny,5lJqux7orBlA1QzyiBGti1,YHLQMDLG,2020-02-29,day,69,210606,True,artist,Bad Bunny
3kG1jgWIDmjJkXhOiOmioO,Dime Si Te Acuerdas,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3rnV3xx6ipgydVX9ADJKh1,Dime Si Te Acuerdas,2018-02-22,day,70,187272,True,artist,Bad Bunny
6it15CsDlkqB7N4lF0C1qM,Caro,4q3ewBCX7sLwd24euuV69X,Bad Bunny,7CjJb2mikwAWA1V6kewFBF,X 100PRE,2018-12-23,day,66,229455,True,artist,Bad Bunny
69ZaPBHhRMRDjRpW1ivnOU,Como Antes,4q3ewBCX7sLwd24euuV69X,Bad Bunny,7CjJb2mikwAWA1V6kewFBF,X 100PRE,2018-12-23,day,67,230577,False,artist,Bad Bunny
4saHEjXw7O1NXJOzBkUKKG,Está Cabrón Ser Yo,4q3ewBCX7sLwd24euuV69X,Bad Bunny,5lJqux7orBlA1QzyiBGti1,YHLQMDLG,2020-02-29,day,69,227939,True,artist,Bad Bunny
